Unnamed: 0,Polygon,Overlay_sheet_ct,naId,Title_short
146,"[[1, -60], [2, -60], [2, -59], [1, -59]]",6,27818820,01N060W
147,"[[1, -61], [2, -61], [2, -60], [1, -60]]",6,27818827,01N061W
148,"[[1, -66], [2, -66], [2, -65], [1, -65]]",6,27818845,01N066W
149,"[[0, -49], [1, -49], [1, -48], [0, -48]]",6,27818673,00N049W
150,"[[5, -62], [6, -62], [6, -61], [5, -61]]",6,27819791,05N062W
151,"[[4, -62], [5, -62], [5, -61], [4, -61]]",6,27819431,04N062W
152,"[[4, -65], [5, -65], [5, -64], [4, -64]]",6,27819443,04N065W
153,"[[4, -66], [5, -66], [5, -65], [4, -65]]",6,27819450,04N066W
154,"[[3, -75], [4, -75], [4, -74], [3, -74]]",6,27819206,03N075W
155,"[[4, -59], [5, -59], [5, -58], [4, -58]]",6,27819413,04N059W
156,"[[2, -75], [3, -75], [3, -74], [2, -74]]",6,27819028,02N075W
157,"[[3, -61], [4, -61], [4, -60], [3, -60]]",6,27819131,03N061W
158,"[[3, -62], [4, -62], [4, -61], [3, -61]]",6,27819138,03N062W
159,"[[3, -68], [4, -68], [4, -67], [3, -67]]",6,27819180,03N068W
160,"[[1, -157], [2, -157], [2, -156], [1, -156]]",6,27818873,01N157W
161,"[[2, -55], [3, -55], [3, -54], [2, -54]]",6,27818912,02N055W
162,"[[19, -1], [20, -1], [20, 0], [19, 0]]",6,27828968,19N001W
163,"[[18, -75], [19, -75], [19, -74], [18, -74]]",6,27828617,18N075W
164,"[[18, -1], [19, -1], [19, 0], [18, 0]]",6,27828081,18N001W
165,"[[16, -22], [17, -22], [17, -21], [16, -21]]",6,27827165,16N022W
166,"[[16, -87], [17, -87], [17, -86], [16, -86]]",6,27827236,16N087W
167,"[[12, -2], [13, -2], [13, -1], [12, -1]]",6,27824737,12N002W
168,"[[10, -82], [11, -82], [11, -81], [10, -81]]",6,27824021,10N082W
169,"[[9, -76], [10, -76], [10, -75], [9, -75]]",6,27822712,09N076W
170,"[[9, -60], [10, -60], [10, -59], [9, -59]]",6,27822388,09N060W
171,"[[8, -3], [9, -3], [9, -2], [8, -2]]",6,27821197,08N003W
172,"[[7, -61], [8, -61], [8, -60], [7, -60]]",6,27820684,07N061W
173,"[[5, -68], [6, -68], [6, -67], [5, -67]]",6,27819821,05N068W
174,"[[25, -106], [26, -106], [26, -105], [25, -105]]",6,27834117,25N106W
175,"[[24, -101], [25, -101], [25, -100], [24, -100]]",6,27833413,24N101W
176,"[[24, -105], [25, -105], [25, -104], [24, -104]]",6,27833447,24N105W
177,"[[24, -9], [25, -9], [25, -8], [24, -8]]",6,27833040,24N009W
178,"[[24, -1], [25, -1], [25, 0], [24, 0]]",6,27832994,24N001W
179,"[[23, -1], [24, -1], [24, 0], [23, 0]]",6,27832328,23N001W
180,"[[23, -9], [24, -9], [24, -8], [23, -8]]",6,27832371,23N009W
181,"[[22, -110], [23, -110], [23, -109], [22, -109]]",6,27832276,22N110W
182,"[[22, -160], [23, -160], [23, -159], [22, -159]]",6,27832312,22N160W
183,"[[22, -1], [23, -1], [23, 0], [22, 0]]",6,27831328,22N001W
184,"[[20, -92], [21, -92], [21, -91], [20, -91]]",6,27830164,20N092W
185,"[[19, -100], [20, -100], [20, -99], [19, -99]]",6,27829522,19N100W
186,"[[29, -7], [30, -7], [30, -6], [29, -6]]",6,27837442,29N007W
187,"[[28, -104], [29, -104], [29, -103], [28, -103]]",6,27837158,28N104W
188,"[[28, -16], [29, -16], [29, -15], [28, -15]]",6,27836285,28N016W
189,"[[28, -15], [29, -15], [29, -14], [28, -14]]",6,27836278,28N015W
190,"[[28, -6], [29, -6], [29, -5], [28, -5]]",6,27836067,28N006W
191,"[[27, -115], [28, -115], [28, -114], [27, -114]]",6,27835993,27N115W
192,"[[28, -3], [29, -3], [29, -2], [28, -2]]",6,27836044,28N003W
193,"[[27, -98], [28, -98], [28, -97], [27, -97]]",6,27835737,27N098W
194,"[[27, -100], [28, -100], [28, -99], [27, -99]]",6,27835780,27N100W
195,"[[27, -7], [28, -7], [28, -6], [27, -6]]",6,27835023,27N007W
196,"[[27, -8], [28, -8], [28, -7], [27, -7]]",6,27835030,27N008W
197,"[[26, -7], [27, -7], [27, -6], [26, -6]]",6,27834258,26N007W
198,"[[37, -111], [38, -111], [38, -110], [37, -110]]",6,27862023,37N111W
199,"[[37, -3], [38, -3], [38, -2], [37, -2]]",6,27860034,37N003W
200,"[[37, -5], [38, -5], [38, -4], [37, -4]]",6,27860053,37N005W
201,"[[36, -5], [37, -5], [37, -4], [36, -4]]",6,27857243,36N005W
202,"[[32, -3], [33, -3], [33, -2], [32, -2]]",6,27844079,32N003W
203,"[[30, -110], [31, -110], [31, -109], [30, -109]]",6,27841076,30N110W
204,"[[29, -109], [30, -109], [30, -108], [29, -108]]",6,27839034,29N109W
205,"[[29, -106], [30, -106], [30, -105], [29, -105]]",6,27839012,29N106W
206,"[[29, -107], [30, -107], [30, -106], [29, -106]]",6,27839019,29N107W
207,"[[29, -88], [30, -88], [30, -87], [29, -87]]",6,27838038,29N088W
241,"[[46, -86], [47, -86], [47, -85], [46, -85]]",6,34499985,46N086W
242,"[[45, -103], [46, -103], [46, -102], [45, -102]]",6,34498822,45N103W
243,"[[43, -3], [44, -3], [44, -2], [43, -2]]",6,34493638,43N003W
244,"[[43, -4], [44, -4], [44, -3], [43, -3]]",6,34493645,43N004W
245,"[[39, -8], [40, -8], [40, -7], [39, -7]]",6,34481782,39N008W
246,"[[50, -112], [51, -112], [51, -111], [50, -111]]",6,34506726,50N112W
247,"[[50, -55], [51, -55], [51, -54], [50, -54]]",6,34506531,50N055W
248,"[[50, -57], [51, -57], [51, -56], [50, -56]]",6,34506548,50N057W
249,"[[50, -60], [51, -60], [51, -59], [50, -59]]",6,34506566,50N060W
250,"[[49, -70], [50, -70], [50, -69], [49, -69]]",6,34505472,49N070W
251,"[[49, -72], [50, -72], [50, -71], [49, -71]]",6,34505485,49N072W
252,"[[49, -73], [50, -73], [50, -72], [49, -72]]",6,34505492,49N073W
253,"[[48, -100], [49, -100], [49, -99], [48, -99]]",6,34504411,48N100W
254,"[[48, -52], [49, -52], [49, -51], [48, -51]]",6,34504197,48N052W
255,"[[48, -73], [49, -73], [49, -72], [48, -72]]",6,34504292,48N073W
256,"[[48, -94], [49, -94], [49, -93], [48, -93]]",6,34504324,48N094W
257,"[[47, -89], [48, -89], [48, -88], [47, -88]]",6,34502049,47N089W
258,"[[53, -64], [54, -64], [54, -63], [53, -63]]",6,34509186,53N064W
259,"[[52, -123], [53, -123], [53, -122], [52, -122]]",6,34508690,52N123W
260,"[[52, -126], [53, -126], [53, -125], [52, -125]]",6,34508707,52N126W
261,"[[52, -174], [53, -174], [53, -173], [52, -173]]",6,34508788,52N174W
262,"[[53, -55], [54, -55], [54, -54], [53, -54]]",6,34509032,53N055W
263,"[[52, -72], [53, -72], [53, -71], [52, -71]]",6,34508581,52N072W
264,"[[52, -112], [53, -112], [53, -111], [52, -111]]",6,34508650,52N112W
265,"[[51, -179], [52, -179], [52, -178], [51, -178]]",6,34508015,51N179W
266,"[[51, -127], [52, -127], [52, -126], [51, -126]]",6,34507912,51N127W
267,"[[51, -175], [52, -175], [52, -174], [51, -174]]",6,34507923,51N175W
268,"[[51, -73], [52, -73], [52, -72], [51, -72]]",6,34507812,51N073W
269,"[[50, -119], [51, -119], [51, -118], [50, -118]]",6,34506738,50N119W
270,"[[54, -78], [55, -78], [55, -77], [54, -77]]",6,34509894,54N078W
271,"[[54, -79], [55, -79], [55, -78], [54, -78]]",6,34509901,54N079W
272,"[[54, -95], [55, -95], [55, -94], [54, -94]]",6,34509917,54N095W
273,"[[54, -96], [55, -96], [55, -95], [54, -95]]",6,34509924,54N096W
274,"[[54, -63], [55, -63], [55, -62], [54, -62]]",6,34509819,54N063W
275,"[[54, -7], [55, -7], [55, -6], [54, -6]]",6,34509713,54N007W
276,"[[53, -75], [54, -75], [54, -74], [53, -74]]",6,34509275,53N075W
277,"[[53, -76], [54, -76], [54, -75], [53, -75]]",6,34509282,53N076W
278,"[[53, -78], [54, -78], [54, -77], [53, -77]]",6,34509295,53N078W
279,"[[53, -106], [54, -106], [54, -105], [53, -105]]",6,34509326,53N106W
280,"[[53, -112], [54, -112], [54, -111], [53, -111]]",6,34509333,53N112W
281,"[[53, -69], [54, -69], [54, -68], [53, -68]]",6,34509244,53N069W
282,"[[56, -6], [57, -6], [57, -5], [56, -5]]",6,34511272,56N006W
283,"[[55, -111], [56, -111], [56, -110], [55, -110]]",6,34510665,55N111W
284,"[[55, -112], [56, -112], [56, -111], [55, -111]]",6,34510672,55N112W
285,"[[55, -113], [56, -113], [56, -112], [55, -112]]",6,34510679,55N113W
286,"[[55, -99], [56, -99], [56, -98], [55, -98]]",6,34510615,55N099W
287,"[[55, -1], [56, -1], [56, 0], [55, 0]]",6,34510368,55N001W
288,"[[55, -3], [56, -3], [56, -2], [55, -2]]",6,34510379,55N003W
289,"[[55, -5], [56, -5], [56, -4], [55, -4]]",6,34510401,55N005W
290,"[[55, -58], [56, -58], [56, -57], [55, -57]]",6,34510419,55N058W
291,"[[54, -99], [55, -99], [55, -98], [54, -98]]",6,34509943,54N099W
292,"[[54, -112], [55, -112], [55, -111], [54, -111]]",6,34509976,54N112W
293,"[[54, -113], [55, -113], [55, -112], [54, -112]]",6,34509983,54N113W
294,"[[57, -112], [58, -112], [58, -111], [57, -111]]",6,34512333,57N112W
295,"[[57, -116], [58, -116], [58, -115], [57, -115]]",6,34512359,57N116W
296,"[[57, -92], [58, -92], [58, -91], [57, -91]]",6,34512232,57N092W
297,"[[57, -96], [58, -96], [58, -95], [57, -95]]",6,34512258,57N096W
298,"[[57, -97], [58, -97], [58, -96], [57, -96]]",6,34512265,57N097W
299,"[[57, -4], [58, -4], [58, -3], [57, -3]]",6,34512112,57N004W
300,"[[56, -155], [57, -155], [57, -154], [56, -154]]",6,34511973,56N155W
301,"[[56, -95], [57, -95], [57, -94], [56, -94]]",6,34511416,56N095W
302,"[[56, -97], [57, -97], [57, -96], [56, -96]]",6,34511431,56N097W
303,"[[56, -114], [57, -114], [57, -113], [56, -113]]",6,34511520,56N114W
